"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"39","Carson Wentz (MIN)","110","169","65.1","1,216","7.2","6","5","19","11","57","0","0","5","75.3","15.1","0.8%"
"40","Dillon Gabriel (CLE)","110","185","59.5","937","5.1","7","2","19","14","86","0","0","10","72.0","7.2","0.9%"
"41","Davis Mills (HOU)","91","159","57.2","915","5.8","5","1","8","13","60","1","0","6","69.6","11.6","5.3%"
"42","Tyrod Taylor (FA)","80","134","59.7","779","5.8","5","5","14","27","143","1","1","6","64.4","10.7","3.2%"
"43","Jake Browning (TB)","81","125","64.8","771","6.2","6","8","9","9","39","1","0","5","56.7","11.3","1.0%"
"44","Russell Wilson (FA)","69","119","58.0","831","7.0","3","3","10","18","106","0","0","6","52.8","8.8","2.3%"
"45","Malik Willis (MIA)","30","35","85.7","422","12.1","3","0","3","22","123","2","1","4","51.1","12.8","26.1%"
"46","Jameis Winston (NYG)","37","66","56.1","567","8.6","2","2","3","7","23","1","1","3","44.2","14.7","10.5%"
"47","Tyler Huntley (BAL)","52","67","77.6","426","6.4","2","0","8","24","151","0","0","5","40.1","8.0","1.9%"
"48","Brady Cook (NYJ)","88","153","57.5","739","4.8","2","7","19","13","49","0","1","5","35.4","7.1","0.7%"
"49","Quinn Ewers (MIA)","55","83","66.3","622","7.5","3","3","8","8","19","0","0","4","35.2","8.8","10.8%"
"50","Philip Rivers (FA)","58","92","63.0","544","5.9","4","3","5","2","-1","0","0","3","34.7","11.6","2.9%"
"51","Riley Leonard (IND)","39","67","58.2","415","6.2","2","3","2","6","27","2","2","5","32.0","6.4","9.5%"
"52","Mitchell Trubisky (TEN)","25","35","71.4","313","8.9","4","0","0","9","6","0","0","4","31.2","7.8","1.4%"
"53","Josh Johnson (CIN)","34","54","63.0","372","6.9","1","2","2","12","55","1","1","5","26.3","5.3","1.0%"
"54","Mason Rudolph (PIT)","38","52","73.1","310","6.0","2","2","2","7","6","0","1","5","17.0","3.4","2.6%"
"55","Tanner McKee (PHI)","24","43","55.8","274","6.4","1","1","3","8","8","0","0","4","14.7","3.7","2.7%"
"56","Trey Lance (LAC)","27","57","47.4","226","4.0","0","1","6","17","85","0","1","4","14.6","3.7","2.7%"
"57","Joe Milton III (DAL)","15","24","62.5","183","7.6","1","2","0","5","50","0","1","4","12.2","3.1","8.2%"
"58","Chris Oladokun (KC)","35","55","63.6","235","4.3","1","0","8","5","18","0","2","3","11.1","3.7","0.9%"
"59","Andy Dalton (PHI)","25","37","67.6","293","7.9","1","1","8","5","-2","0","2","4","10.5","2.6","0.9%"
"60","Kenny Pickett (CAR)","28","45","62.2","188","4.2","1","2","8","5","22","0","1","6","9.7","1.6","1.6%"
"61","Max Brosmer (MIN)","47","71","66.2","328","4.6","0","4","14","7","11","0","1","7","8.2","1.2","0.7%"
"62","Cooper Rush (FA)","34","52","65.4","303","5.8","0","4","1","4","-4","0","1","4","5.8","1.5","1.2%"
"63","Aidan O'Connell (LV)","10","22","45.5","102","4.6","0","0","1","1","7","0","0","1","4.8","4.8","1.3%"
