"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"26","Quinshon Judkins (CLE)","230","827","3.6","46","4","7","36","26","171","6.6","0","0","14","143.8","10.3","85.5%"
"27","David Montgomery (HOU)","158","716","4.5","72","3","8","29","24","192","8.0","0","1","17","142.9","8.4","83.4%"
"28","Jacory Croskey-Merritt (WAS)","175","805","4.6","72","3","8","13","9","68","7.6","0","2","17","131.3","7.7","58.8%"
"29","Kyle Monangai (CHI)","169","783","4.6","39","3","5","30","18","164","9.1","0","0","17","128.7","7.6","77.7%"
"30","Kareem Hunt (FA)","163","611","3.7","33","1","8","25","18","143","7.9","1","1","17","127.4","7.5","29.8%"
"31","Woody Marks (HOU)","196","703","3.6","23","2","2","36","24","208","8.7","3","0","16","127.1","7.9","78.7%"
"32","Tyrone Tracy Jr. (NYG)","176","740","4.2","31","3","2","48","36","288","8.0","2","1","15","124.8","8.3","59.9%"
"33","Jordan Mason (MIN)","159","758","4.8","24","4","6","16","14","51","3.6","0","1","16","114.9","7.2","52.6%"
"34","Blake Corum (LAR)","145","746","5.1","48","5","6","14","8","36","4.5","0","0","17","114.2","6.7","69.7%"
"35","Tyler Allgeier (ARI)","143","514","3.6","21","1","8","16","14","96","6.9","0","0","17","109.0","6.4","52.0%"
"36","Bucky Irving (TB)","173","588","3.4","32","1","1","35","30","277","9.2","3","1","10","108.5","10.9","95.9%"
"37","J.K. Dobbins (DEN)","153","772","5.0","41","5","4","14","11","37","3.4","0","0","10","104.9","10.5","63.1%"
"38","Cam Skattebo (NYG)","101","410","4.1","24","1","5","32","24","207","8.6","2","1","8","103.7","13.0","70.9%"
"38","Omarion Hampton (LAC)","124","545","4.4","54","3","4","35","32","192","6.0","1","0","9","103.7","11.5","95.1%"
"40","Rachaad White (WAS)","132","572","4.3","39","2","4","45","40","218","5.5","0","0","17","103.0","6.1","62.8%"
"41","Kimani Vidal (LAC)","155","643","4.1","59","4","3","22","16","136","8.5","1","0","13","101.9","7.8","45.4%"
"42","Chuba Hubbard (CAR)","134","511","3.8","14","0","1","39","30","223","7.4","3","1","15","95.4","6.4","83.8%"
"43","Devin Singletary (NYG)","119","437","3.7","29","2","5","19","18","151","8.4","0","0","17","90.8","5.3","12.0%"
"44","Aaron Jones Sr. (MIN)","132","548","4.2","31","1","2","41","28","199","7.1","1","1","12","90.7","7.6","78.8%"
"45","Chris Rodriguez Jr. (JAC)","112","500","4.5","48","2","6","4","3","30","10.0","0","0","13","89.0","6.8","39.9%"
"46","Sean Tucker (TB)","86","320","3.7","43","1","7","11","8","34","4.3","1","0","17","83.4","4.9","26.7%"
"47","Emanuel Wilson (SEA)","125","496","4.0","15","0","3","17","15","99","6.6","0","0","17","79.5","4.7","38.8%"
"48","Bhayshul Tuten (JAC)","83","307","3.7","15","0","5","14","10","79","7.9","2","1","15","78.6","5.2","68.1%"
"49","Ty Johnson (BUF)","50","200","4.0","23","1","3","33","24","263","11.0","2","0","17","76.3","4.5","7.9%"
"50","Nick Chubb (FA)","122","506","4.1","30","3","3","20","13","67","5.2","0","0","15","75.3","5.0","14.4%"
"51","Bam Knight (ARI)","82","269","3.3","17","0","4","31","22","160","7.3","1","1","12","70.9","5.9","8.1%"
"52","Isiah Pacheco (DET)","118","462","3.9","16","0","1","26","19","101","5.3","1","0","13","68.3","5.3","59.6%"
"53","Alvin Kamara (NO)","131","471","3.6","18","0","1","39","33","186","5.6","0","2","11","67.7","6.2","74.2%"
"54","Tyjae Spears (TEN)","72","283","3.9","41","2","2","50","45","264","5.9","0","0","13","66.7","5.1","51.4%"
"55","Michael Carter (TEN)","92","333","3.6","22","2","1","45","33","267","8.1","0","0","13","66.0","5.1","17.4%"
"56","Samaje Perine (CIN)","84","382","4.5","32","2","3","21","17","87","5.1","0","2","15","60.9","4.1","5.0%"
"57","Dylan Sampson (CLE)","65","175","2.7","26","1","0","40","33","271","8.2","2","1","15","54.6","3.6","37.5%"
"58","Brian Robinson Jr. (ATL)","92","400","4.3","19","0","2","12","8","25","3.1","0","0","17","54.5","3.2","32.8%"
"59","Ray Davis (BUF)","58","275","4.7","23","1","0","13","10","86","8.6","2","0","17","54.1","3.2","20.6%"
"60","Tank Bigsby (PHI)","63","356","5.7","29","2","2","4","3","32","10.7","0","0","16","50.8","3.2","27.7%"
"61","Isaiah Davis (NYJ)","43","236","5.5","50","2","1","28","21","186","8.9","0","0","16","50.2","3.1","8.9%"
"62","Jeremy McNichols (WAS)","44","221","5.0","60","1","1","31","25","196","7.8","0","1","17","47.7","2.8","1.2%"
"63","Ollie Gordon II (MIA)","70","199","2.8","20","1","3","9","7","32","4.6","1","0","17","47.1","2.8","17.6%"
"64","Keaton Mitchell (LAC)","59","341","5.8","55","4","1","12","9","63","7.0","0","0","13","46.4","3.6","18.4%"
"65","Emari Demercado (KC)","44","312","7.1","71","2","0","20","13","101","7.8","1","1","13","45.3","3.5","8.3%"
"66","Justice Hill (BAL)","18","93","5.2","71","1","2","27","21","169","8.0","1","0","10","44.2","4.4","6.1%"
"67","Jaylen Wright (MIA)","70","288","4.1","32","1","2","9","5","44","8.8","0","1","11","43.2","3.9","22.3%"
"68","Devin Neal (NO)","57","206","3.6","21","1","2","19","17","104","6.1","0","0","9","43.0","4.8","31.7%"
"69","Malik Davis (DAL)","52","250","4.8","43","3","2","5","2","16","8.0","0","0","10","38.6","3.9","4.2%"
"70","Brashard Smith (KC)","44","151","3.4","14","0","0","35","25","172","6.9","1","0","17","38.3","2.3","16.7%"
"71","Audric Estime (NO)","46","198","4.3","32","1","1","13","12","103","8.6","0","0","7","36.1","5.2","9.5%"
"72","Kyle Juszczyk (SF)","2","-3","-1.5","0","0","0","28","24","213","8.9","2","0","17","33.0","1.9","1.9%"
"73","Kendre Miller (NO)","47","193","4.1","18","0","1","5","5","30","6.0","0","0","7","28.3","4.0","12.6%"
"74","Jaleel McLaughlin (DEN)","37","187","5.1","16","0","1","6","4","27","6.8","0","0","8","27.4","3.4","2.6%"
"75","James Conner (ARI)","32","95","3.0","12","0","1","9","8","38","4.8","1","0","4","25.3","6.3","56.3%"
"76","Zavier Scott (MIN)","32","114","3.6","11","0","0","16","14","98","7.0","1","1","11","25.2","2.3","0.9%"
"77","Hunter Luepke (DAL)","16","71","4.4","9","0","0","15","13","109","8.4","1","0","17","24.0","1.4","0.8%"
"78","Jaret Patterson (LAC)","41","159","3.9","22","1","1","4","3","8","2.7","0","0","6","22.7","3.8","1.1%"
"78","Jawhar Jordan (HOU)","43","193","4.5","50","1","0","7","7","34","4.9","0","0","4","22.7","5.7","2.9%"
"80","Trey Benson (ARI)","29","160","5.5","52","2","0","16","13","64","4.9","0","0","5","22.4","4.5","39.2%"
