"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"113","Moliki Matavao (NO)","2","0","2","10","5.0","0","0","0","0","0","0","6","1.0","0.2","1.0%"
"114","Chris Manhertz (NYG)","2","0","1","7","7.0","0","0","0","0","0","0","17","0.7","0.0","0.1%"
"114","Ross Dwelley (FA)","5","0","2","7","3.5","0","0","0","0","0","0","10","0.7","0.1","0.0%"
"114","Harrison Bryant (FA)","6","0","2","7","3.5","0","0","0","0","0","0","12","0.7","0.1","0.0%"
"114","Cam Grandy (CIN)","2","0","2","7","3.5","0","0","0","0","0","0","5","0.7","0.1","0.0%"
"118","Blake Whiteheart (CLE)","6","0","2","4","2.0","0","0","0","0","0","0","16","0.4","0.0","0.0%"
"118","Jared Wiley (KC)","1","0","1","4","4.0","0","0","0","0","0","0","4","0.4","0.1","0.6%"
"120","Carter Runyon (LV)","1","0","1","3","3.0","0","0","0","0","0","0","11","0.3","0.0","0.0%"
"120","Drake Dabney (GB)","2","0","1","3","3.0","0","0","0","0","0","0","2","0.3","0.2","0.0%"
"122","Robert Tonyan (FA)","1","0","1","1","1.0","0","0","0","0","0","0","16","0.1","0.0","0.0%"
"122","Pharaoh Brown (FA)","2","0","2","1","0.5","0","0","0","0","0","0","7","0.1","0.0","0.0%"
"124","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Thomas Fidone II (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"126","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"127","Kenny Yeboah (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"128","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"129","Feleipe Franks (CAR)","0","0","0","0","0","0","0","2","4","0","0","12","0.0","0.0","0.0%"
"130","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"131","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Giovanni Ricci (FA)","1","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"131","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"131","Hayden Rucci (SF)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"131","CJ Dippre (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"136","Qadir Ismail (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Joshua Simon (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"139","Rivaldo Fairweather (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Caleb Lohner (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"139","Tanner McLachlan (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Caden Prieskorn (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"139","Gavin Bartholomew (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"139","McCallan Castles (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Mason Pline (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"139","Thomas Yassmin (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"148","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Jack Westover (NE)","2","0","1","0","0.0","0","0","0","0","0","0","17","0.0","0.0","0.1%"
"150","Tre Watson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Zach Horton (DET)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"152","Marshall Lang (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","JJ Galbreath (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Nick Kallerup (SEA)","1","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","1.0%"
"155","Bryce Pierre (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Patrick Herbert (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Layne Pryor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Thomas Gordon (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Bryson Nesbit (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Nikola Kalinic (CHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"160","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","6.2%"
"162","Erick All Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
